,precision,recall,f1-score,support
Fatal,0.9045521292217328,0.8591352859135286,0.8812589413447784,717.0
High,0.9939695857367593,0.9965825446898002,0.9952743502231558,3804.0
Moderate,0.9091891891891892,0.9354838709677419,0.9221491228070174,899.0
accuracy,0.9682656826568266,0.9682656826568266,0.9682656826568266,0.9682656826568266
macro avg,0.9359036347158938,0.9304005671903569,0.9328941381249839,5420.0
weighted avg,0.9680784616006821,0.9682656826568266,0.9680624263093356,5420.0
